userId,reviewDate,userReview,movieId
48829349,28 December 2018,"[<div class=""text show-more__control"">Bandersnatch feels like something completely new. It was an awesome experience. You are the factor that can alter character's story for better or worse. Even the supporting characters are influenced by the decisions you make. There's a different end for everyone depending on your choices. Netflix says that there are 5 ""main endings"" with multiple variants of each. When you watch it again after watching, it makes you feel like you're watching a different movie. Netflix has found a way to make it a deeply personal experience. You feel responsible for the character's choices. It's really fun to have the options in the hands of the audience. And for a first attempt, Netflix succeeds. You should watch it. - I saw people who couldn't get the message the movie wanted to give. I recommend that they watch carefully. 9/10</div>]",9495224
47207350,28 December 2018,"[<div class=""text show-more__control"">The overall idea behind an interactive film is great and it was a good attempt. However, the film kept taking you back to the same options over and over again until you chose the one you hadn't seen yet. So, for me it was dessesperating and I felt like it didn't actually give me much of a choice, if I dint chose what I was ""supposed"" to, then the film would keep looping. Maybe that's the point but I'm just not a fan, I had bigger hopes for an interactive film.</div>]",9495224
26775098,4 March 2019,"[<div class=""text show-more__control"">The fact that the film pushes you in to a specific path is the entire point of the film!<br/><br/>The idea that we are all brainwashed and that free will is up for debate in any choice we make in today's society is, by its very purpose, the whole concept of the film.<br/><br/>I thought is was a brilliant new step in film making and an incredible concept. Would highly recommend to any open-minded individual with good taste in film and a love for science fiction and 80's vibes.</div>]",9495224
35883057,29 December 2018,"[<div class=""text show-more__control"">So, I am going against the main stream here (can't remember the number of reviews mentioning ""mind blowing""....)
I thought the base concept of Bandersnatch was pretty original and the execution extremely ambitious; the main problem I had with it was that the executional device (the interactivity) ended up hijacking the story in so far that I was more carried away by the choices I had to make than by the flow of the story itself.
The way the plot is constructed is like a glass maze, where you keep wandering around and after a while you realise you are where you were a few minutes before; so, in the same way, I found myself watching several times the same sequence and, in all honesty, after 3-4 times, it started being a little repetitive.
In reality, this is more of a videogame where you want to ""win"" by making the choices that brings you to the next ending, and this took away the sheer pleasure of watching a story.
But in the end, the deadly sin of Bandersnatch is that the story is not that interesting, so the idea of watching it in loop (all of it or just parts of it) was not really motivating.
Sorry, it did not blow my mind away...</div>]",9495224
7826013,7 January 2019,"[<div class=""text show-more__control clickable"">I consider ""Black Mirror"" to be the best anthology series since Rod Serling's ""The Twilight Zone"". That's how highly I regard the show. Unfortunately, when it comes to the choose-your-own-adventure interactive ""Bandersnatch"", I left the experience wishing a ""normal"" episode or film had been released instead of this experiment.<br/><br/>For a basic plot summary, ""Bandersnatch"" tells the story of Stefan (Fionn Whitehead), a computer programmer in the 1980s who is working on a path-choosing game at the same company as his idol (and fellow master programmer) Colin (Will Poulter). While creating the game, Stefan becomes convinced that someone else is controlling his actions, much like the characters he himself is creating.<br/><br/>With such a unique concept as ""Bandersnatch""--letting the viewer choose certain decisions for the characters--both the plot and convention must be evaluated. In this case, however, it is difficult to untangle one from the other, as the filmmakers intentionally break the fourth wall on numerous occasions. In other words, it is impossible to separate ""the plot"" from ""the choices"".<br/><br/>Though there were a few things that ""Bandersnatch"" did which intrigued me (mostly located in the first 20-30 minutes of the experience, the poor star rating ultimately came down to this for me: with every ""wrong"" ending I took--thus having to go back and try again--I felt a bit more removed from the overall story and thus my stake in the characters. To be honest, it is almost the exact same emotion I experienced while reading choose-your-own-adventure books as a child. They were fun for awhile, but after a time I became fatigued by the back-and-forth and wanted to get back to more traditional storytelling techniques.<br/><br/>This is to say nothing that with every back-track, I felt like I was continually being taken out of the plot and having to remember what was happening. This worked for about the first half hour or so, but after that it got really messy for my viewing experience.<br/><br/>So, while I have to give ""Black Mirror"" at least some credit for putting a new idea out there for people to experiment with, at the end of the day I wished I would have had more of their standard episodes instead. To be completely honest, I don't think that this type of choice-based content watching will ever be more than a fad or gimmick, although of course that remains to be seen.<br/><br/>For this viewer, however, I prefer to be able to relax and enjoy one story carefully crafted by a team of filmmakers. Adding in audience participation just makes things really, really messy when all is said and done.</div>]",9495224
60635881,29 December 2018,"[<div class=""text show-more__control"">The graphics and music were great, and the transition was smooth at the ""crossroads"". But the story... It didn't feel like much of a story, and then I felt pushed into making choices that I did not want to make. I think it captured the choose-your-own-path game feeling, but to me that didn't really feel right in a movie, everything felt too simple and a bit too forced. It's great that Black Mirror wanted to do something innovative, which this truly is, but because it is Black Mirror all the endings feel wrong. In a game like this, you play for the best outcome, but here, you just play to see what else you can get.</div>]",9495224
65288572,28 December 2018,"[<div class=""text show-more__control"">Could have been great but the story was so boring. Also you often don't really have a choice as you just keep getting sent in a loop until you make the ""right"" choice to move the film forward. Kudos to Netflix for making an attempt, but could have been so much better.</div>]",9495224
25922671,1 January 2019,"[<div class=""text show-more__control"">Bandersnatch is not a new experience by any means, although it is new for Netflix. There have been games like this for many years. However, for this particular title the choices are rather uninteresting and there isn't really a ""choice"" when you are choosing between very close actions. Basically whatever you chose gets you to similar points so not really a choice based ending.
I don't think the choices were very wise chosen and overall the plot of the movie was not very great. I mean it's interesting but nothing new or groundbreaking compared to other episodes from Black Mirror, that is, mind you, a darn good TV show.
I think an interactive movie based on Juniper City or Metalheads episodes would've turned much much better. There is also some sort of disparity between what you chose, what the character does in the movie and what happens in the scene. Meaning that somehow you choose what the other characters are doing with your choices instead of the main character, and that's also a bit confusing and a bit of a drag for me.
So overall I recommend this title for it's novelty, but not so much for the script and general idea. Worth your time though, just for the sake of it.</div>]",9495224
66094405,28 December 2018,"[<div class=""text show-more__control"">This is groundbreaking. Can't really get a grasp on it. Who ever wrote this mapping is a genius. This is the future and Netflix owns it. Need to watch it again and choose sugar puffs instead of frosties. This is like a video game but a movie and makes u wonder so many things on the user pathway.<br/><br/>Mind blow! Netflix treading into new waters. I wonder what I missed by making the wrong decisions or right ones. There must be so many different endings....or not. I won't tell you mine. Fun ride! Want more of these. Maybe for a horror film?</div>]",9495224
19021849,28 December 2018,"[<div class=""text show-more__control"">It never occurred to me that something like this would someday be tried. Kudos to Netflix for trying to push the boundaries of what is possible through this medium. That said, the whole thing felt like a game. A fascinating game because of the novelty, but I felt none of what usually a good film would elicit. Yes, there was a lot of anticipation of what would happen next, but overall, due to the frequent pauses to choose, there was no continuity or involvement in the story per se. Some of the choices too felt pretty childish. The idea that the character was actually feeling like he had no free will and felt compelled to do things as though someone (the viewer) was controlling him - well, it brings a smile the first time, but later, feels like something that perhaps a smoked-up teen would find mind boggling. Overall, yes, definitely something that people would be thrilled to watch and try, but I sincerely hope we do not have a lot of this type of interactive films - at least not at the expense of ""normal"" films.</div>]",9495224
